#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,accuracy(training),accuracy(test)
100,2,200,0.2,0.5,1,1.0,0.9722222222222222
100,2,100,0.2,0.5,1,1.0,0.9722222222222222
100,2,50,0.2,0.5,1,1.0,0.9722222222222222
100,2,200,0.2,0.5,0.7,1.0,0.9722222222222222
100,2,100,0.2,0.5,0.7,1.0,0.9722222222222222
100,2,50,0.2,0.5,0.7,1.0,0.9722222222222222
100,2,200,0.2,0.5,0.5,1.0,0.9722222222222222
100,2,100,0.2,0.5,0.5,1.0,0.9722222222222222
100,2,50,0.2,0.5,0.5,1.0,0.9722222222222222
100,2,200,0.2,0.5,0.2,1.0,0.9722222222222222
100,2,100,0.2,0.5,0.2,1.0,0.9722222222222222
100,2,50,0.2,0.5,0.2,1.0,1.0
100,2,200,0.2,0.5,0,1.0,0.9722222222222222
100,2,100,0.2,0.5,0,1.0,0.9722222222222222
100,2,50,0.2,0.5,0,1.0,0.9722222222222222
100,2,200,0.2,0.1,1,1.0,0.9722222222222222
100,2,100,0.2,0.1,1,1.0,0.9722222222222222
100,2,50,0.2,0.1,1,1.0,0.9722222222222222
100,2,200,0.2,0.1,0.7,1.0,0.9722222222222222
100,2,100,0.2,0.1,0.7,1.0,0.9722222222222222
100,2,50,0.2,0.1,0.7,1.0,1.0
100,2,200,0.2,0.1,0.5,1.0,0.9722222222222222
100,2,100,0.2,0.1,0.5,1.0,0.9722222222222222
100,2,50,0.2,0.1,0.5,1.0,1.0
100,2,200,0.2,0.1,0.2,1.0,0.9722222222222222
100,2,100,0.2,0.1,0.2,1.0,0.9722222222222222
100,2,50,0.2,0.1,0.2,1.0,1.0
100,2,200,0.2,0.1,0,1.0,0.9722222222222222
100,2,100,0.2,0.1,0,1.0,1.0
100,2,50,0.2,0.1,0,1.0,1.0
